NCAPH2 IGLV3-12 24 1.167751923668945e-07 2 32 8
IGLV3-12 GSTT2 21 3.143082342106293e-06 2 34 13
APOL4 IGLV3-12 20 0.00046792569838641196 3 39 19
NCAPH2 GSTT2 19 3.0295096091167921e-05 2 26 7
NCAPH2 APOL4 18 0.0011580285770565056 3 31 13
RRP7A IGLV3-12 16 0.00043380926993300656 2 23 7
IGLV3-12 IGLV3-1 16 0.0020072075130485104 4 23 7
IGLV3-12 CTA-299D3.8 15 0.00095800829143510955 2 22 7
RRP7B IGLV3-12 15 0.0013029703183180547 2 24 9
IGLV3-12 UPK3A 15 0.00095800829143510955 2 22 7
TMPRSS6 IGLV3-12 15 0.0015704329070545245 2 28 13
ACR IGLV3-12 15 0.00095800829143510955 2 22 7
APOL4 GSTT2 15 0.0094153587729156156 3 33 18
IGLV3-12 IGLV3-27 14 0.0020254335221526103 2 21 7
TUBA8 IGLV3-12 14 0.0030102735374609875 2 30 16
IGLV2-8 IGLV3-12 14 0.0020254335221526103 2 21 7
IGLV8-61 IGLV3-12 14 0.0020254335221526103 2 21 7
NCAPH2 IGLV3-1 14 0.00027479541560209022 4 15 1
NCAPH2 RRP7A 14 0.00012403384450303343 2 15 1
IGLV1-44 IGLV3-12 14 0.0020254335221526103 2 21 7
SEC14L6 IGLV3-12 14 0.0020254335221526103 2 21 7
IGLV3-12 DNAJB7 14 0.0020254335221526103 2 21 7
NCAPH2 RRP7B 13 0.0011989379610307799 2 16 3
IGLV3-12 EFCAB6 13 0.0048274247527859745 2 21 8
NCAPH2 CTA-299D3.8 13 0.00029189919796577147 2 14 1
IGLV4-69 IGLV3-12 13 0.0097538322397626651 3 21 8
MAPK8IP2 IGLV3-12 13 7.6368373766697779e-05 2 40 27
GAB4 IGLV3-12 13 0.0068953876980088202 2 26 13
THAP7-AS1 IGLV3-12 13 0.0048274247527859745 2 21 8
SCARF2 IGLV3-12 13 0.00014378270617165629 4 80 67
TMPRSS6 NCAPH2 13 0.0041069127220515495 2 20 7
NCAPH2 ACR 13 0.00029189919796577147 2 14 1
NCAPH2 UPK3A 13 0.00029189919796577147 2 14 1
RIBC2 IGLV3-12 13 7.6368373766697779e-05 2 40 27
CLTCL1 IGLV3-12 13 7.6368373766697779e-05 2 40 27
NCAPH2 IGLV3-27 12 0.00066907814031421297 2 13 1
MEI1 IGLV3-12 12 0.0093106107217995858 2 20 8
ZMAT5 IGLV3-12 12 0.0093106107217995858 2 20 8
NCAPH2 DNAJB7 12 0.00066907814031421297 2 13 1
PRODH IGLV3-12 12 0.010492452774632692 2 21 9
IGLV2-11 IGLV3-12 12 0.0093106107217995858 2 20 8
IGLV3-16 IGLV3-12 12 0.011506212016559686 2 30 18
IGLV2-8 NCAPH2 12 0.00066907814031421297 2 13 1
IGLV8-61 NCAPH2 12 0.00066907814031421297 2 13 1
NCAPH2 SEC14L6 12 0.00066907814031421297 2 13 1
KB-1269D1.8 IGLV3-12 12 0.0093106107217995858 2 20 8
IGLV1-44 NCAPH2 12 0.00066907814031421297 2 13 1
FAM211B IGLV3-12 12 0.0093106107217995858 2 20 8
TUBA8 NCAPH2 12 0.011506212016559811 2 22 10
NCAPH2 IGLV4-69 11 0.0043290333588903033 3 13 2
NCAPH2 MAPK8IP2 11 0.017240055292843826 2 32 21
KB-67B5.12 IGLV3-12 11 0.024320601599461117 2 24 13
NCAPH2 EFCAB6 11 0.0031207412655786951 2 13 2
THAP7-AS1 NCAPH2 11 0.0031207412655786951 2 13 2
SCARF2 NCAPH2 11 0.03341479500723353 4 72 61
GAB4 NCAPH2 11 0.014978066220173976 2 18 7
NCAPH2 RIBC2 11 0.017240055292843826 2 32 21
NCAPH2 CLTCL1 11 0.017240055292843826 2 32 21
RRP7A GSTT2 11 0.01255029161298574 2 17 6
HDAC10 IGLV3-12 11 0.019273246208495864 2 20 9
GSTT2 IGLV3-1 11 0.022646432770958201 4 17 6
GSTT2 CTA-299D3.8 10 0.022991701587976858 2 16 6
RRP7A APOL4 10 0.067415874603463405 3 22 12
RRP7B GSTT2 10 0.030682733210421941 2 18 8
APOL4 IGLV3-1 10 0.089208102994625504 5 22 12
GSTT2 UPK3A 10 0.022991701587976858 2 16 6
IGLV2-11 NCAPH2 10 0.0064479983641521355 2 12 2
IGLV3-16 NCAPH2 10 0.041079686226937875 2 22 12
TMPRSS6 GSTT2 10 0.041079686226937875 2 22 12
MEI1 NCAPH2 10 0.0064479983641521355 2 12 2
ZMAT5 NCAPH2 10 0.0064479983641521355 2 12 2
PRODH NCAPH2 10 0.010287141170198719 2 13 3
NCAPH2 FAM211B 10 0.0064479983641521355 2 12 2
RFPL1 IGLV3-12 10 0.036834833076220937 2 20 10
KB-1269D1.8 NCAPH2 10 0.0064479983641521355 2 12 2
ACR GSTT2 10 0.022991701587976858 2 16 6
GSTT2 IGLV3-27 9 0.040609207873050487 2 15 6
ACR APOL4 9 0.10114766399439434 3 21 12
TUBA8 GSTT2 9 0.072905809410160449 2 24 15
IGLV2-8 GSTT2 9 0.040609207873050487 2 15 6
IGLV8-61 GSTT2 9 0.040609207873050487 2 15 6
TMPRSS6 APOL4 9 0.13101192750495261 3 27 18
CYP2D6 IGLV3-12 9 0.065571975223406631 2 20 11
APOL4 CTA-299D3.8 9 0.10114766399439434 3 21 12
NCAPH2 HDAC10 9 0.019757026758445522 2 12 3
APOL4 RRP7B 9 0.11316926214639846 3 23 14
IGLV1-44 GSTT2 9 0.040609207873050487 2 15 6
SEC14L6 GSTT2 9 0.040609207873050487 2 15 6
APOL4 UPK3A 9 0.10114766399439434 3 21 12
GSTT2 DNAJB7 9 0.040609207873050487 2 15 6
KB-67B5.12 NCAPH2 9 0.046857781530811507 2 16 7
TUBA8 APOL4 8 0.19470916920844486 3 29 21
IGLV3-12 CLDN5 8 0.11279717367793933 2 27 19
GSTT2 EFCAB6 8 0.078361007055355425 2 15 7
SEC14L6 APOL4 8 0.14783552703774167 3 20 12
IGLV4-69 GSTT2 8 0.09718375314724878 3 15 7
MAPK8IP2 GSTT2 8 0.069165055972487677 2 34 26
IGLV2-8 APOL4 8 0.14783552703774167 3 20 12
IGLV8-61 APOL4 8 0.14783552703774167 3 20 12
APOL4 DNAJB7 8 0.14783552703774167 3 20 12
GAB4 GSTT2 8 0.10950852418653839 2 20 12
APOL4 IGLV3-27 8 0.14783552703774167 3 20 12
THAP7-AS1 GSTT2 8 0.078361007055355425 2 15 7
SCARF2 GSTT2 8 0.092379983421123649 4 74 66
