APOL4 287 1.3705422743543227e-49 39 481 194
CACNA1I 186 2.3885508074689462e-23 38 367 181
MOV10L1 171 3.0029453171210024e-13 80 436 265
CPT1B 159 3.8665991534109795e-22 39 257 98
PNPLA5 133 9.1214425092038703e-24 18 223 90
SERHL2 129 4.7476904095164203e-26 22 166 37
PPP6R2 127 6.9842093448542762e-15 36 240 113
RFPL3 91 8.29789102789773e-27 14 96 5
CLTCL1 80 1.3593111367715831e-06 54 198 118
PRODH 74 0.00061928810298347414 55 359 285
THOC5 67 2.0377220483853644e-07 24 138 71
CYB5R3 65 1.0538063042961396e-12 9 98 33
SERHL 65 8.0704092053806599e-08 17 136 71
TTLL1 65 2.4374320697455339e-08 17 124 59
RIBC2 61 5.8258206533313388e-08 16 115 54
IGLV3-12 61 3.0463122281815441e-13 7 98 37
RP4-669P10.16 59 0.00079731957950327512 41 227 168
POLDIP3 57 2.7781720910341243e-10 12 81 24
SBF1 56 0.0012087321612590293 46 208 152
PRR5 55 3.5321355372550129e-06 21 114 59
RRP7A 54 7.170907094281931e-07 21 97 43
ZC3H7B 51 1.4092726092089688e-06 17 94 43
SGSM1 50 7.1362913000803092e-05 35 113 63
LIMK2 47 9.5612966357660944e-05 17 122 75
PRR5-ARHGAP8 47 0.0033820348456037354 42 174 127
IGLV5-48 46 5.0571613488274356e-05 17 105 59
SNORD83B 45 0.00040472513013611541 18 136 91
SLC7A4 45 4.2389585021416906e-07 10 75 30
HDAC10 43 0.0022371674011777889 20 175 132
PI4KA 43 0.042603684335744262 54 317 274
NUP50 41 4.2415184851305422e-06 8 84 43
RFPL3S 41 6.655643061937367e-06 16 68 27
EP300 40 0.0020676184227795746 23 124 84
CECR5 40 0.0015427144640437905 21 120 80
SSTR3 40 1.0306332908060179e-05 8 91 51
TUBA8 39 2.3323340816298354e-06 13 59 20
SUN2 37 4.3023744232690731e-05 13 67 30
CECR6 36 7.6268338569581356e-05 11 70 34
IL17RA 36 0.012349660796101961 29 143 107
TRIOBP 35 0.057513913625425753 35 266 231
IGLV3-19 35 8.991514073136487e-07 13 46 11
RAB36 35 0.045824802410495878 29 306 271
SMC1B 34 0.08436479823441112 37 347 313
SEC14L3 33 0.011183268771549761 17 144 111
CRYBB2 32 0.00021501037381065581 8 69 37
C1QTNF6 32 0.0073298949124574828 15 117 85
MORC2 31 0.012000407085134697 19 111 80
ATP5L2 31 1.340285439247636e-08 3 41 10
MED15 31 0.01597224465711098 20 121 90
IGLCOR22-2 30 1.3934349938036772e-11 3 30 0
IL17REL 30 0.0040734709617574125 12 89 59
PHF21B 30 0.0077571499711667578 19 89 59
ZNRF3 29 0.019554274198996129 16 124 95
RNU6-513P 29 1.6724018813906044e-06 5 38 9
PI4KAP1 29 0.016887006969703626 14 136 107
CRYBA4 28 0.0042462933761835096 15 69 41
MAPK8IP2 28 0.038904718733923108 20 138 110
IGLV2-14 27 0.0025657392334824279 8 73 46
MEI1 26 0.088337571468067672 32 150 124
IL2RB 26 0.011183758097370104 12 81 55
CARD10 26 0.022178696370429709 32 80 54
AC023490.1 26 0.0011718283433396698 6 69 43
RTCB 26 0.063000975061316924 27 128 102
PLXNB2 26 0.147121389725409 39 213 187
GGT5 26 0.0010948776505390757 14 47 21
MLC1 25 0.050044502187601564 31 100 75
PARVB 25 0.084451181999192576 23 151 126
IGLV3-21 25 0.00061747909769867141 5 58 33
RP4-669P10.19 25 0.047601792373021048 15 141 116
IGLJ2 25 0.00025902907108786436 5 45 20
WBP2NL 24 0.0058744049904899806 7 81 57
APOBEC3A 24 0.0033364148782700095 8 54 30
RAC2 24 0.0064956268384712326 10 59 35
ASCC2 24 0.1528571139748845 30 201 177
ACO2 24 0.023397883441391765 13 83 59
MCAT 23 0.016137491122423381 9 78 55
Z82188.1 23 0.00019767372656937627 5 35 12
ALG12 22 0.15421516904377758 44 138 116
SAMM50 21 0.15506317316357696 24 150 129
AC004463.6 21 8.4833635501211851e-06 7 23 2
KIAA1671 21 0.04784645247591171 15 76 55
FBXO7 21 0.031148315330291464 12 67 46
UPK3A 21 0.063285334763559631 13 98 77
EMID1 21 0.0062911071603566834 14 41 20
FAM227A 21 0.054499162669183046 18 77 56
TUBGCP6 20 0.22202598174143348 28 187 167
IGLC2 20 8.9026004100886552e-06 2 26 6
FAM19A5 20 0.14460428571260123 21 128 108
SEC14L2 19 0.053742828493482997 13 65 46
